<DATE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
02.01.12;186.8800000;188.6400000;182.3200000;182.5200000;1002795
09.01.12;181.8700000;183.5200000;177.3500000;179.1900000;1528096
16.01.12;180.3400000;188.9600000;179.4100000;188.5300000;1633959
23.01.12;187.8100000;192.7800000;187.7400000;190.5300000;1286450
30.01.12;188.7400000;194.8100000;188.2900000;193.5600000;1224958
06.02.12;192.3100000;194.4400000;191.3000000;192.3300000;1133406
13.02.12;193.3000000;193.8550000;190.8400000;193.4200000;955534
20.02.12;193.7000000;199.2000000;192.4900000;197.7100000;1161729
27.02.12;196.6300000;199.1200000;196.1100000;198.7600000;1347362
05.03.12;198.3600000;201.1900000;196.8400000;200.6900000;1383451
12.03.12;200.9300000;207.5100000;200.2400000;206.1700000;1135811
19.03.12;205.6200000;206.5000000;203.7200000;205.6900000;1196357
26.03.12;206.4700000;209.1100000;206.0900000;208.8000000;907908
02.04.12;208.9700000;210.6500000;204.4700000;205.3300000;1108344
09.04.12;203.8600000;206.1500000;202.2000000;202.8600000;1228660
16.04.12;204.5600000;207.6300000;197.5400000;199.5500000;1897301
23.04.12;198.3400000;208.1200000;196.8700000;206.9100000;984903
30.04.12;206.7400000;208.9000000;204.6500000;204.9600000;732978
07.05.12;203.7700000;204.7400000;199.0600000;201.0600000;898383
14.05.12;199.7300000;201.4200000;195.1900000;195.9000000;1448402
21.05.12;195.7000000;198.2100000;193.2100000;194.2300000;1083338
28.05.12;195.7200000;198.0600000;188.6000000;188.8800000;1013349
04.06.12;188.5500000;195.7500000;187.0300000;195.1400000;1015036
11.06.12;196.6100000;199.2500000;192.3400000;199.1100000;1041208
18.06.12;197.9800000;199.9900000;193.2300000;194.4600000;1109650
25.06.12;192.3500000;195.8100000;188.9100000;195.5200000;1370619
02.07.12;196.2900000;197.1800000;189.7500000;191.3800000;743675
09.07.12;190.6600000;190.8700000;181.8600000;185.9600000;1395849
16.07.12;185.5000000;196.8500000;183.2800000;192.5000000;1861588
23.07.12;189.2600000;197.4100000;188.2600000;196.4600000;1398179
30.07.12;196.0900000;198.9500000;193.1000000;198.4300000;1127137
06.08.12;198.6500000;200.8700000;197.2600000;199.1700000;897919
13.08.12;199.1000000;201.9900000;197.7200000;201.3200000;680620
20.08.12;200.5800000;201.1100000;194.2100000;197.7500000;966998
27.08.12;197.9600000;198.2600000;193.2000000;194.7300000;904328
03.09.12;196.6100000;199.4700000;193.2500000;199.4500000;1043664
10.09.12;199.4600000;207.6300000;198.7300000;206.7600000;1313486
17.09.12;206.1500000;207.9900000;205.3500000;206.0100000;1141884
24.09.12;204.9300000;208.3150000;203.9500000;207.3300000;1136389
01.10.12;208.2300000;211.7800000;208.2300000;210.5100000;1067398
08.10.12;210.0300000;210.6900000;205.0900000;207.7700000;951532
15.10.12;208.9000000;210.8300000;193.2100000;193.4100000;2169823
22.10.12;193.8100000;194.6700000;190.5700000;193.2900000;912426
29.10.12;194.8000000;197.9500000;193.2950000;193.3500000;805376
05.11.12;192.3600000;196.5900000;188.9100000;189.6100000;947723
12.11.12;190.0100000;190.8300000;184.8200000;186.8600000;1079369
19.11.12;188.6000000;193.4700000;188.2800000;193.4700000;566309
26.11.12;192.4900000;193.2500000;189.3200000;190.0200000;965847
03.12.12;190.7800000;192.2000000;186.9700000;191.9500000;1015984
10.12.12;191.8800000;194.7900000;191.3000000;191.8900000;1118406
17.12.12;191.8300000;196.3900000;191.5800000;193.6400000;1024136
24.12.12;192.7100000;193.8100000;189.8500000;189.9400000;857552
31.12.12;188.9000000;196.2300000;188.8900000;193.9300000;1004268
07.01.13;193.4000000;195.0000000;191.2900000;194.3100000;1420315
14.01.13;192.8200000;195.0000000;190.4400000;194.4900000;1598203
21.01.13;194.1300000;208.5700000;194.0100000;204.8500000;1651061
28.01.13;205.5000000;205.9600000;202.9900000;205.2700000;810852
04.02.13;204.1000000;205.0000000;198.7000000;201.6000000;936381
11.02.13;201.5600000;201.9400000;199.0200000;200.8400000;598552
18.02.13;200.5100000;201.8800000;198.1200000;200.9600000;703513
25.02.13;201.5300000;203.1000000;197.5600000;202.7800000;1642093
04.03.13;202.6900000;210.7200000;202.5700000;210.2800000;1287522
11.03.13;210.0100000;215.9000000;209.0600000;214.6200000;1469900
18.03.13;212.9000000;215.8100000;210.1100000;212.0600000;1046984
25.03.13;212.6600000;213.4300000;209.8000000;213.3650000;648256
01.04.13;213.1400000;214.8100000;206.3700000;209.4150000;802485
08.04.13;209.1700000;213.0700000;207.3500000;211.3100000;796338
15.04.13;209.9700000;211.9900000;189.7800000;189.9500000;1643051
22.04.13;191.2500000;195.1500000;187.7000000;194.3100000;1447514
29.04.13;194.7800000;205.2900000;194.7800000;204.4100000;1242404
06.05.13;203.7900000;204.9700000;201.5600000;204.3500000;704240
13.05.13;204.3500000;208.9000000;202.0400000;208.5200000;1002433
20.05.13;208.0400000;210.1000000;204.4300000;205.7200000;708440
27.05.13;207.4400000;211.9800000;206.2100000;208.2500000;627528
03.06.13;208.3500000;210.0200000;201.4900000;206.2700000;1477582
10.06.13;206.8000000;206.8700000;200.3600000;202.2000000;773603
17.06.13;203.4400000;206.0700000;193.5500000;195.5500000;1230562
24.06.13;193.9700000;196.5600000;188.4500000;190.9700000;1127716
01.07.13;192.1500000;195.1400000;190.3250000;194.9500000;580419
08.07.13;195.6000000;195.7500000;190.8000000;192.0600000;968066
15.07.13;192.3900000;200.9400000;191.8900000;193.5300000;1142932
22.07.13;193.7100000;197.7800000;193.6250000;197.3200000;599482
29.07.13;196.7800000;197.8300000;193.2300000;195.1500000;769100
05.08.13;194.9300000;195.8300000;186.8000000;187.8400000;759059
12.08.13;187.0200000;189.9800000;185.3600000;185.4700000;771600
19.08.13;185.4800000;186.5200000;183.2300000;185.3500000;720103
26.08.13;185.2200000;186.9600000;181.1000000;182.2700000;612911
02.09.13;183.9000000;185.0000000;182.3300000;183.0000000;459479
09.09.13;183.5300000;193.1000000;183.5200000;192.1700000;845569
16.09.13;193.7000000;194.8700000;190.1100000;190.2600000;774816
23.09.13;190.0600000;192.3600000;186.5000000;186.8500000;607732
30.09.13;185.1300000;186.7300000;183.0400000;184.1900000;663909
07.10.13;182.0400000;186.2000000;178.7200000;186.2000000;948410
14.10.13;185.5000000;186.9800000;172.6200000;173.7000000;2059865
21.10.13;174.3100000;179.0400000;172.6400000;176.8500000;1472165
28.10.13;177.4800000;182.3100000;176.2300000;179.2400000;1539548
04.11.13;179.9450000;181.3300000;177.3600000;178.3700000;1720942
11.11.13;180.1900000;184.0300000;179.7800000;183.2400000;1907018
18.11.13;183.4750000;186.2300000;179.9500000;181.2600000;1810814
25.11.13;180.6000000;180.7500000;177.8300000;179.6800000;1055031
02.12.13;179.4800000;179.5100000;175.2100000;177.6500000;1647224
09.12.13;177.8700000;178.1500000;172.7500000;172.8100000;1217199
16.12.13;173.0200000;181.9900000;172.7800000;180.6900000;1050818
23.12.13;180.9200000;186.5000000;180.6600000;185.1000000;403543
30.12.13;185.2550000;187.7800000;184.7000000;186.6800000;438469
06.01.14;187.1600000;190.3500000;185.3500000;187.2200000;645577
13.01.14;186.2700000;190.7800000;183.8750000;189.9700000;946900
20.01.14;190.0600000;190.3000000;179.7050000;179.8100000;1294566
27.01.14;179.3100000;179.5200000;175.3500000;176.6300000;870751
03.02.14;175.7550000;177.5400000;172.3600000;177.2100000;1143905
10.02.14;176.5000000;184.4200000;176.2900000;183.6000000;1160953
17.02.14;183.1450000;185.7100000;182.3800000;182.7800000;1113913
24.02.14;183.2500000;186.0900000;182.9000000;185.2100000;973976
03.03.14;183.4800000;188.9000000;182.8500000;187.6100000;974895
10.03.14;187.5200000;188.4100000;182.2700000;182.2800000;1167155
17.03.14;182.7600000;188.6900000;182.7600000;186.6500000;1170899
24.03.14;187.6150000;195.5400000;187.5100000;190.3600000;1613266
31.03.14;191.6400000;195.1100000;191.3000000;191.8400000;1333880
07.04.14;191.7200000;199.1900000;191.5900000;195.3400000;1375650
14.04.14;196.1100000;198.6650000;187.0400000;190.0700000;1408724
21.04.14;189.7800000;192.9800000;189.1200000;189.6450000;1175950
28.04.14;191.0800000;196.8400000;190.7200000;191.4000000;1061146
05.05.14;190.5300000;191.4500000;186.9600000;190.0800000;735624
12.05.14;191.1000000;193.0300000;185.9700000;187.1900000;799821
19.05.14;186.6800000;187.1200000;184.7100000;185.9200000;634091
26.05.14;184.8000000;185.6150000;182.3400000;184.4300000;671066
02.06.14;184.9100000;187.5900000;184.0000000;186.2600000;603436
09.06.14;186.2100000;187.6300000;180.9450000;182.4800000;633747
16.06.14;182.3200000;184.4300000;181.2400000;181.8700000;705235
23.06.14;181.8300000;182.9800000;179.3100000;181.6700000;652389
